MapID;Dropdown_Name;"QIC HealthX Exclusive"
1;TPA;NULL
2;Region;NULL
3;Network;NULL
4;Annual;"Annual Limit"
5;Terotory;"Area of Cover"
6;HomeNursing;NULL
7;Accomafdation(room);NULL
8;Deductable;NULL
9;SpecialistAccess;NULL
10;RadiologyandDiagnostic;NULL
11;ofpahamacy;NULL
12;Phamacy;"Pharmacy co-pay"
13;Pysio;NULL
14;PhysioCo;NULL
15;Metanity;NULL
16;MetanityCo;NULL
17;MaternityMarriedFemalesIp;NULL
18;Renal;NULL
19;Organ;NULL
20;Dental;"Dental Cover"
21;Dental(Co);NULL
22;Optical;"Optical Cover"
23;optical(Co);NULL
24;Alternativemedecine;NULL
25;AlternativeCoPay;NULL
26;Psycharaty;NULL
27;Motal;NULL
28;America;NULL
29;Telehealth;NULL
30;Airfare_for_IP_Treatment;NULL
31;Alternative_treatment_limit;NULL
32;BrokerCommission;NULL
33;Business_Nature;NULL
34;Congenital_Condition_Sublimit;NULL
35;Consultation_Limit;NULL
36;coPaymentDiagnostics;NULL
37;CopaymentonDiagnostics;NULL
38;Critical_Illness;NULL
39;Daily_Cash_Benefit;NULL
40;Dental_Optical;NULL
41;DiagnosticCopay;NULL
42;Dialysis_Sublimit;NULL
43;Disability_benefits;NULL
44;Group_Life;NULL
45;Health;NULL
46;InpatientCo_pay;NULL
47;IP_Coinsurance;NULL
48;Lab&X-Ray;NULL
49;Lab_n_Diagnostics_copay;NULL
50;Lab_n_Diagnostics_limit;NULL
51;lifebenefit;NULL
52;Maternity_In_patient_copay;NULL
53;Maternity_In_patient_limit;NULL
54;Maternity_Out_patient_copay;NULL
55;Maternity_Out_patient_limit;NULL
56;MaternityNewborn;NULL
57;Medical_Appliances_Sublimit;NULL
58;New_born_cover;NULL
59;Occupational_Class;NULL
60;OutPatient;NULL
61;Personal_Accident;NULL
62;Pharmacy_Sublimit;NULL
63;Plan_Selection;NULL
64;PreExisting_and_Chronic_Conditions;NULL
65;Premium_Frequency;NULL
66;Reimbursement;NULL
67;RoomCategory;NULL
68;Second_Medical_Opinion;NULL
69;"Shiniqnx Vaccine";NULL
70;SubPlan;NULL
71;Welness;Wellness
72;Quotation_For;NULL
73;Policy_Holder_Type;NULL
74;Terotory;"Area of Cover"
75;Excess;Excess
76;NetworkType;"Network Type"
77;PaymentFrequency;"Payment Frequency"
78;QuoteOption;"Quote Option"
