MapID,Dropdown_Name,"QIC HealthX Exclusive"
1,TPA,NULL
2,Region,NULL
3,Network,NULL
4,Annual,"Annual Policy Limit"
5,Terotory,"Area of Cover"
6,HomeNursing,NULL
7,Accomafdation(room),NULL
8,Deductable,"Deductible for Consultation"
9,SpecialistAccess,NULL
10,RadiologyandDiagnostic,NULL
11,ofpahamacy,"Pharmacy Limit"
12,Phamacy,"Pharmacy Co-insurance"
13,Pysio,"Physiotherapy Limit"
14,PhysioCo,"Physiotherapy copay"
15,Metanity,"Maternity Limit"
16,MetanityCo,"Maternity copay"
17,MaternityMarriedFemalesIp,NULL
18,Renal,"Enhanced Coverage"
19,Organ,NULL
20,Dental,"Dental Limit"
21,Dental(Co),"Dental copay"
22,Optical,"Optical Limit"
23,optical(Co),"Optical copay"
24,Alternativemedecine,"Alternative Medicine Limit"
25,AlternativeCoPay,"Alternative Medicine copay"
26,Psycharaty,NULL
27,Motal,NULL
28,America,NULL
29,Telehealth,NULL
30,Airfare_for_IP_Treatment,NULL
31,Alternative_treatment_limit,NULL
32,BrokerCommission,NULL
33,Business_Nature,NULL
34,Congenital_Condition_Sublimit,NULL
35,Consultation_Limit,NULL
36,coPaymentDiagnostics,NULL
37,CopaymentonDiagnostics,NULL
38,Critical_Illness,NULL
39,Daily_Cash_Benefit,NULL
40,Dental_Optical,NULL
41,DiagnosticCopay,"Outpatient Co-insurance (Diagnostics)"
42,Dialysis_Sublimit,NULL
43,Disability_benefits,NULL
44,Group_Life,NULL
45,Health,NULL
46,InpatientCo_pay,NULL
47,IP_Coinsurance,"Inpatient Co-insurance"
48,Lab&X-Ray,NULL
49,Lab_n_Diagnostics_copay,"Outpatient Psychiatric copay"
50,Lab_n_Diagnostics_limit,"Outpatient Psychiatric Limit"
51,lifebenefit,NULL
52,Maternity_In_patient_copay,NULL
53,Maternity_In_patient_limit,NULL
54,Maternity_Out_patient_copay,NULL
55,Maternity_Out_patient_limit,NULL
56,MaternityNewborn,NULL
57,Medical_Appliances_Sublimit,NULL
58,New_born_cover,NULL
59,Occupational_Class,NULL
60,OutPatient,NULL
61,Personal_Accident,NULL
62,Pharmacy_Sublimit,NULL
63,Plan_Selection,NULL
64,PreExisting_and_Chronic_Conditions,"Pre-existing Conditions Limit"
65,Premium_Frequency,NULL
66,Reimbursement,NULL
67,RoomCategory,"Inpatient Room Type"
68,Second_Medical_Opinion,NULL
69,"Shiniqnx Vaccine",NULL
70,SubPlan,NULL
71,Welness,"Routine Health Check-up"
72,Quotation_For,NULL
73,Policy_Holder_Type,NULL
74,Terotory,NULL
75,Excess,NULL
76,NetworkType,NULL
77,PaymentFrequency,NULL
78,QuoteOption,NULL
